SB.spot,ACCESSION,refseq_gene_id,chromosome_number,chromosome_scaffold,stand,strat,end,gene_name,refseq_transcript_id
SB03029B2A05.f1,DV954550,100230432,15,NC_045014.1,+,10228591,10210506,MAPKAPK5,NM_001159734.2
SB02011B1D09.f1,CK312239,100221133,2,NC_045000.1,+,121017261,121009767,RPL7,NM_001159737.1
SB02042A1H03.f1,CK306945,100190083,Z,NC_045027.1,+,2710881,2714307,IER3IP1,NM_001159742.1
SB03044A2C06.f1,DV959337,100190102,3,NC_045001.1,+,72830355,72848904,SFT2D1,NM_001159744.1
SB03002A2E04.f1,DV945420,100190102,3,NC_045001.1,+,72830355,72848904,SFT2D1,NM_001159744.1
SB02012A1H02.f1,CK301418,100190102,3,NC_045001.1,+,72830355,72848904,SFT2D1,NM_001159744.1
SB02008B2E08.f1,CK311396,100221758,1,NC_044998.1,+,94115831,94307326,TBL1X,NM_001159817.2
SB03022B2E05.f1,DV952355,100190152,8,NC_045007.1,+,28976412,28996188,UCK2,NM_001160034.1
SB02006B1A02.f1,CK310505,100190700,15,NC_045014.1,+,2200300,2202521,DDT,NM_001160044.1
SB03028A2G09.f1,DV954107,100219304,6,NC_045005.1,+,3178819,3176542,ECHS1,NM_001161810.1
SB03050B1A05.f1,DV961466,100190755,1,NC_044998.1,+,29398154,29322274,PAK1,NM_001162370.1
SB02022A1C10.f1,CK303931,100190141,14,NC_045013.1,+,826148,837469,LYRM1,NM_001162374.1
SB03031A1H05.f1,DV955016,100189998,1,NC_044998.1,+,36181633,36164824,SMCO4,NM_001164338.1
SB02018B2H02.f1,CK303896,100190088,1,NC_044998.1,+,47667470,47671600,MZT1,NM_001164349.1
SB03037B2G02.f1,DV957114,100190672,23,NC_045021.1,+,2303387,2297315,EIF3I,NM_001164351.1
SB03034A1A12.f1,DV955923,100190672,23,NC_045021.1,+,2303387,2297315,EIF3I,NM_001164351.1
SB02004B1G04.f1,CK309872,100190672,23,NC_045021.1,+,2303387,2297315,EIF3I,NM_001164351.1
SB02012B2G06.f1,CK301663,100190124,17,NC_045015.1,+,5603630,5599952,C17H9orf16,NM_001164354.1
SB02017B2C05.f1,CK303147,100190498,28,NC_045026.1,+,2633851,2630113,OAZ1,NM_001172764.1
SB03038A2A10.f1,DV957232,100232808,8,NC_045007.1,+,1554513,1513384,DNAJC6,NM_001177414.2
SB02015A1B11.f1,CK302200,100226677,1,NC_044998.1,+,77149839,77165026,ERCC5,NM_001177423.1
SB03027B1G01.f1,DV953860,100415772,1,NC_044998.1,+,77133911,77148453,BIVM,NM_001177425.1
SB02018B1H06.f1,CK303743,100230840,1,NC_044998.1,+,96967802,97000492,MOSPD2,NM_001177514.1
SB02005A2E04.f1,CK310285,100217979,23,NC_045021.1,+,2230605,2236549,TMEM39B,NM_001177553.2
SB03051A2D02.f1,DV961757,100228325,10,NC_045009.1,+,10408952,10459481,TRPM7,NM_001177554.2
SB02009B1A02.f1,CK311524,100223892,2,NC_045000.1,+,50523690,49503403,CNTNAP2,NM_001193337.1
SB02048A1A10.f1,CK308922,100190480,6,NC_045005.1,+,10169219,10159743,PRXL2A,NM_001193526.1
SB02017A2F01.f1,CK303091,100190314,14,NC_045013.1,+,14876217,14879563,ANTKMT,NM_001195828.1
SB010013001H01.A,CK235617,100190314,14,NC_045013.1,+,14876217,14879563,ANTKMT,NM_001195828.1
SB03005A2E01.f1,DV946450,100190076,Un,NULL,+,NULL,NULL,CCDC25,NM_001197175.1
SB03049A1G12.f1,DV961025,100190282,23,NC_045021.1,+,635379,641905,MEAF6,NM_001197177.1
SB010008000G06,CK234530,100190396,15,NC_045014.1,+,1539735,1538296,UQCR10,NM_001197178.1
SB02039A2D07.f1,CK314361,100190421,2,NC_045000.1,+,93000486,93005032,IFI6,NM_001197179.2
SB02025A2H05.f1,CK304867,100190442,4,NC_045002.1,+,8170068,8181817,LOC100190442,NM_001197253.1
SB020002000F11,CK301271,100190500,Z,NC_045027.1,+,30836307,30848211,INIP,NM_001197255.1
SB03030A1G01.f1,DV954683,100190518,6,NC_045005.1,+,5068398,5056680,CISD1,NM_001197256.2
SB010024000G05,CK235877,100190518,6,NC_045005.1,+,5068398,5056680,CISD1,NM_001197256.2
SB03004A2F07.f1,DV946126,100217741,1,NC_044998.1,+,110830196,110781719,PCP4,NM_001197258.2
SB02036B2D11.f1,CK313126,100218328,8,NC_045007.1,+,8754018,8752793,UQCRH,NM_001197261.2
SB02007A2A10.f1,CK310847,100218328,8,NC_045007.1,+,8754018,8752793,UQCRH,NM_001197261.2
SB02008B2E04.f1,CK311392,100220589,1A,NC_044999.1,+,43118883,43106409,NDUFA12,NM_001197290.2
SB02025B2G12.f1,CK304946,100224650,18,NC_045016.1,+,8493751,8495434,H3F3B,NM_001197298.1
SB02015A1B12.f1,CK302201,100225440,22,NC_045020.1,+,4411078,4406741,H2AFV,NM_001197299.2
SB02019A1A08.f1,CK316495,100228523,1,NC_044998.1,+,83496831,83493227,LOC100228523,NM_001197303.1
SB02008B2G06.f1,CK311416,100225857,3,NC_045001.1,+,93676049,93669373,H3F3A,NM_001197304.1
SB03035B2B03.f1,DV956451,100229813,4,NC_045002.1,+,32988958,32354009,TENM3,NM_001198538.2
SB03005A1G01.f1,DV946388,100229813,4,NC_045002.1,+,32988958,32354009,TENM3,NM_001198538.2
SB02030B1C01.f1,CK316380,100229813,4,NC_045002.1,+,32988958,32354009,TENM3,NM_001198538.2
SB02018A2D08.f1,CK303765,100190181,1,NC_044998.1,+,20469138,20471443,TAF13,NM_001198577.1
SB03021A1B11.f1,DV951708,100190054,10,NC_045009.1,+,15802547,15817688,NR2F2,NM_001198579.2
SB02033B2C03.f1.A,CK306322,100190054,10,NC_045009.1,+,15802547,15817688,NR2F2,NM_001198579.2
SB02007A1H12.f1,CK310841,100190288,4,NC_045002.1,+,43453349,43449831,RPS3A,NM_001198581.1
SB02022B1A07.f1,CK304027,100190342,3,NC_045001.1,+,10429468,10343808,VSNL1,NM_001198582.2
SB02016A2A10.f1.A,CK302703,100190342,3,NC_045001.1,+,10429468,10343808,VSNL1,NM_001198582.2
SB02003B1A03.f1,CK309596,100190454,1A,NC_044999.1,+,62661988,62672816,LDHB,NM_001198585.1
SB02018A1E11.f1,CK303599,100190529,3,NC_045001.1,+,104153087,104139742,CALM2,NM_001198599.1
SB02007A1A05.f1,CK310767,100190563,27,NC_045025.1,+,2598132,2596973,EIF1,NM_001198606.1
SB02023A1H08.f1,CK304281,100190636,1,NC_044998.1,+,26436214,26440083,GAPDH,NM_001198610.1
SB02020B1G07.f1,CK317049,100190636,1,NC_044998.1,+,26436214,26440083,GAPDH,NM_001198610.1
SB02022A2F10.f1,CK304138,100190639,Z,NC_045027.1,+,75858836,75849914,FN3KRP,NM_001198613.1
SB02011A1A08.f1,CK312117,100228793,2,NC_045000.1,+,135045411,135081309,EMC2,NM_001198684.1
SB02016A2C05.f1.A,CK302709,100221539,14,NC_045013.1,+,16017713,16028929,ATP6V0C,NM_001198724.1
SB03027B2C12.f1,DV953914,100232550,8,NC_045007.1,+,22021910,22006899,LHX9,NM_001198727.2
SB03002A2B05.f1,DV945390,100232550,8,NC_045007.1,+,22021910,22006899,LHX9,NM_001198727.2
SB02023A1D03.f1,CK304278,100232550,8,NC_045007.1,+,22021910,22006899,LHX9,NM_001198727.2
SB02022B2C11.f1,CK304165,100232550,8,NC_045007.1,+,22021910,22006899,LHX9,NM_001198727.2
SB03011B1D07.f1,DV961996,100231543,2,NC_045000.1,+,63324109,63307383,NRN1,NM_001198730.1
SB02031A2C04.f1,CK305756,100229359,27,NC_045025.1,+,2114741,2112677,RPL27,NM_001198776.1
SB02026B1C05.f1,CK315587,100229359,27,NC_045025.1,+,2114741,2112677,RPL27,NM_001198776.1
SB02020A2F07.f1,CK316999,100229691,3,NC_045001.1,+,29933905,29930073,COX7A2,NM_001198781.1
SB02013B2G11.f1,CK301998,100219134,3,NC_045001.1,+,104661008,104654914,MRPL33,NM_001198795.1
SB02017A1C08.f1,CK302914,100225030,26,NC_045024.1,+,5021906,5011220,PSMA5,NM_001198816.1
SB02044A1D04.f1,CK307575,100190142,1A,NC_044999.1,+,46915916,46919032,RRP7A,NM_001198822.1
SB02047A1G09.f1,CK308644,100224367,17,NC_045015.1,+,8327865,8362359,OLFM1,NM_001198848.2
SB03039A2F08.f1,DV957642,100224367,17,NC_045015.1,+,8327865,8362359,OLFM1,NM_001198849.2
SB02012B2A04.f1,CK301594,100224367,17,NC_045015.1,+,8327865,8362359,OLFM1,NM_001198849.2
SB02024A1A05.f1,CK303910,100190304,11,NC_045010.1,+,8386532,8392587,CNEP1R1,NM_001198856.1
SB03039A1G11.f1,DV957566,100190365,Un,NULL,+,NULL,NULL,OST4,NM_001198865.1
SB02005A1A08.f1,CK310102,100190252,2,NC_045000.1,+,63007203,62921922,LYRM4,NM_001198887.1
SB03043B2H01.f1,DV959213,100190064,1,NC_044998.1,+,29621433,29619444,NDUFC2,NM_001198997.2
SB02044A1A08.f1,CK307563,100232597,5,NC_045004.1,+,10019519,10012934,TALDO1,NM_001199564.1
SB02042A2F04.f1.A,CK307006,100190272,10,NC_045009.1,+,17646873,17641151,SELENOS,NM_001199750.1
SB02007B2G10.f1,CK311073,100190272,10,NC_045009.1,+,17646873,17641151,SELENOS,NM_001199750.1
SB03048A1D08.f1,DV960629,100190312,12,NC_045011.1,+,13394286,13397797,SELENOK,NM_001199761.1
SB02007A1D07.f1,CK310792,100190312,12,NC_045011.1,+,13394286,13397797,SELENOK,NM_001199761.1
SB03033B2A11.f1,DV955841,100190318,8,NC_045007.1,+,14717184,14693017,SELENOF,NM_001199765.1
SB02011B1D07.f1.A,CK312237,100190446,9,NC_045008.1,+,25219661,25213361,SELENOT,NM_001199769.1
SB02003B2F06.f1,CK309733,100221702,Z,NC_045027.1,+,30478052,30751418,PALM2AKAP2,NM_001204208.1
SB02044B1A07.f1,CK307735,100190047,14,NC_045013.1,+,13584767,13585675,HBAD,NM_001204242.1
SB02017B2F11.f1,CK303254,100190494,14,NC_045013.1,+,13587902,13588697,HBAA,NM_001204243.1
SB02017A1C04.f1,CK302910,100190757,18,NC_045016.1,+,9743770,9746267,NME2,NM_001204762.1
SB02038A1H08.f1,CK313585,100534625,21,NC_045019.1,+,956201,1033468,KIF1B,NM_001204964.2
SB02013A1G08.f1,CK301752,100534626,21,NC_045019.1,+,1034228,1043721,PGD,NM_001204966.1
SB03014A1E03.f1,DV949455,100190174,21,NC_045019.1,+,1044835,1046871,CENPS,NM_001204968.1
SB02039A2A06.f1,CK314320,100190174,21,NC_045019.1,+,1044835,1046871,CENPS,NM_001204968.1
SB010021000D01,CK235411,100190174,21,NC_045019.1,+,1044835,1046871,CENPS,NM_001204968.1
SB03013A2H06.f1,DV949233,100226827,3,NC_045001.1,+,83672541,83659229,ASB3,NM_001205074.1
SB03001B2B05.f1,DV945216,100226827,3,NC_045001.1,+,83672541,83659229,ASB3,NM_001205074.1
SB02046B1B08.f1,CK308422,100551498,20,NC_045018.1,+,14303288,14314274,UBE2V1,NM_001205107.1
SB02017A2A07.f1,CK302988,100190093,20,NC_045018.1,+,14285682,14299491,TMEM189,NM_001205109.2
SB010011000G07,CK234687,100230379,23,NC_045021.1,+,4026751,4035959,RCC1,NM_001205217.1
SB03039B1G09.f1,DV957737,100190434,13,NC_045012.1,+,15173739,15175507,PRELID1,NM_001244195.1
SB03018B1E10.f1,DV950895,100190434,13,NC_045012.1,+,15173739,15175507,PRELID1,NM_001244195.1
SB03049A1D02.f1,DV960982,100228800,26,NC_045024.1,+,1601463,1603304,TAF11,NM_001244906.1
SB03009B2G10.f1,DV948045,100223562,21,NC_045019.1,+,2442237,2423929,PANK4,NM_001244913.2
SB02044B2G09.f1,CK307885,100187703,9,NC_045008.1,+,5791130,5794520,TMEM41A,NM_001245101.1
SB03026B1G09.f1,DV953632,100187705,11,NC_045010.1,+,12081578,12085514,SLC7A6OS,NM_001245102.1
SB02025B2F04.f1,CK304964,100187707,3,NC_045001.1,+,47403658,47419770,NUS1,NM_001245104.1
SB02046A2B05.f1,CK308335,100189952,20,NC_045018.1,+,5996842,5994328,SYS1,NM_001245105.1
SB02028B2F05.f1,CK316151,100190208,15,NC_045014.1,+,9918983,9916363,ISCU,NM_001245106.1
SB02004A2E09.f1.A,CK309979,100190464,21,NC_045019.1,+,6724458,6722224,CAMK2N1,NM_001245107.1
SB03038B1F04.f1,DV957375,100190720,2,NC_045000.1,+,109448327,109456447,TTR,NM_001245108.1
SB02032B2F01.f2,CK314193,100190720,2,NC_045000.1,+,109448327,109456447,TTR,NM_001245108.1
SB02026B2H07.f1,CK315811,100190720,2,NC_045000.1,+,109448327,109456447,TTR,NM_001245108.1
SB02015A2G08.f1,CK302433,100190720,2,NC_045000.1,+,109448327,109456447,TTR,NM_001245108.1
SB03024B1C11.f1,DV952945,100190209,1,NC_044998.1,+,113296232,113251844,MRPS6,NM_001245109.1
SB02029A1C04.f1,CK305366,100190209,1,NC_044998.1,+,113296232,113251844,MRPS6,NM_001245109.1
SB02007B2F01.f1,CK311053,100190721,12,NC_045011.1,+,137999,139414,MRPS25,NM_001245111.1
SB02007A1F11.f1,CK310819,100190721,12,NC_045011.1,+,137999,139414,MRPS25,NM_001245111.1
SB03022A2A03.f1,DV952135,100190210,15,NC_045014.1,+,8671914,8690500,PITPNB,NM_001245113.1
SB02025A1B11.f1,CK304625,100190210,15,NC_045014.1,+,8671914,8690500,PITPNB,NM_001245113.1
SB03030A1A11.f1,DV954640,100190722,4A,NC_045003.1,+,18801385,18798572,LOC100190722,NM_001245115.2
SB03015B1D11.f1.A,DV949895,100190722,4A,NC_045003.1,+,18801385,18798572,LOC100190722,NM_001245115.2
SB02031B1F11.f1,CK305907,100190722,4A,NC_045003.1,+,18801385,18798572,LOC100190722,NM_001245115.2
SB02029B2E03.f1,CK305652,100189955,5,NC_045004.1,+,58832786,58840317,CNIH1,NM_001245116.1
SB02018A2A05.f1,CK303657,100189955,5,NC_045004.1,+,58832786,58840317,CNIH1,NM_001245116.1
SB02028A2C08.f1,CK316019,100190211,2,NC_045000.1,+,130711928,130708067,RPL30,NM_001245117.1
SB02013A1F10.f1,CK301742,100190467,20,NC_045018.1,+,8061474,8052439,LOC100190467,NM_001245118.1
SB02015A1E08.f1,CK302231,100190723,3,NC_045001.1,+,88818688,88831130,DTD1,NM_001245119.2
SB03004A1B10.f1,DV945996,100190212,2,NC_045000.1,+,148330141,148331416,RPLP1,NM_001245121.1
SB02042B2G04.f1,CK307189,100190212,2,NC_045000.1,-,148330141,148331416,RPLP1,NM_001245121.1
SB02047B2C04.f1,CK308848,100190468,Z,NC_045027.1,+,77399712,77418644,TMEM167A,NM_001245122.1
SB02029B2E07.f1,CK305656,100190468,Z,NC_045027.1,+,77399712,77418644,TMEM167A,NM_001245122.1
SB02011A1C08.f1,CK312140,100190468,Z,NC_045027.1,+,77399712,77418644,TMEM167A,NM_001245122.1
SB03002B1D11.f1,DV945500,100190724,1,NC_044998.1,+,24200435,24202774,NDUFB4,NM_001245123.1
SB02007A1D09.f1,CK310794,100190724,1,NC_044998.1,+,24200435,24202774,NDUFB4,NM_001245123.1
SB03013A1C05.f1,DV949099,100190469,1A,NC_044999.1,+,12197074,12205211,PSMC2,NM_001245126.1
SB03021B1B02.f1,DV951881,100190214,25,NC_045023.1,+,467640,465478,LAMTOR2,NM_001245129.1
SB02034B2D05.f1,CK306674,100190470,5,NC_045004.1,+,52075455,52065970,CKB,NM_001245130.2
SB02034A2H01.f1,CK306539,100190470,5,NC_045004.1,+,52075455,52065970,CKB,NM_001245130.2
SB010020000D05,CK235509,100189959,2,NC_045000.1,-,462218,464772,RARRES2,NM_001245132.1
SB03028A1G06.f1,DV954035,100190215,6,NC_045005.1,+,1636123,1648905,VPS26A,NM_001245133.1
SB03006A1A11.f1,DV946678,100190471,4,NC_045002.1,+,28544274,28657326,TUSC3,NM_001245134.1
SB02035B1C09.f1,CK312674,100190472,20,NC_045018.1,+,10356341,10349624,ADRM1,NM_001245138.1
SB02005A2E07.f1,CK310288,100189961,24,NC_045022.1,+,7286731,7288546,RPS25,NM_001245139.2
SB02019B2G09.f1.A,CK316835,100190729,22,NC_045020.1,+,469288,470487,TM2D2,NM_001245142.1
SB03035B2G02.f1,DV956506,100189962,27,NC_045025.1,+,1766039,1756778,CWC25,NM_001245143.2
SB03034A1B10.f1,DV955930,100190218,19,NC_045017.1,+,4380005,4387557,POLDIP2,NM_001245144.1
SB02042A1D02.f1,CK306900,100190218,19,NC_045017.1,+,4380005,4387557,POLDIP2,NM_001245144.1
SB02036A2C07.f1,CK312932,100190475,13,NC_045012.1,+,15868838,15838985,NSG2,NM_001245149.1
SB03025A2B08.f2,DV953199,100190731,11,NC_045010.1,+,12775193,12776844,LOC100190731,NM_001245150.1
SB03048A1A03.f1,DV960594,100189964,1,NC_044998.1,+,114173387,114171220,RPS11,NM_001245151.2
SB02017B1A07.f1,CK302967,100190220,2,NC_045000.1,+,44510189,44516415,CCK,NM_001245152.1
SB02045A1B03.f1,CK307921,100190476,14,NC_045013.1,+,898067,902887,TMEM159,NM_001245153.1
SB03027B2A06.f1,DV953884,100190732,1,NC_044998.1,+,18344986,18341814,SOD1,NM_001245154.2
SB03020A2F07.f1,DV951492,100190732,1,NC_044998.1,+,18344986,18341814,SOD1,NM_001245154.2
SB02046B1H08.f1,CK308482,100190732,1,NC_044998.1,+,18344986,18341814,SOD1,NM_001245154.2
SB02026B2E08.f1,CK315777,100190732,1,NC_044998.1,+,18344986,18341814,SOD1,NM_001245154.2
SB02025B2B05.f1,CK304891,100190732,1,NC_044998.1,+,18344986,18341814,SOD1,NM_001245154.2
SB02006B2F02.f1,CK310716,100189965,17,NC_045015.1,+,6350520,6371463,NCS1,NM_001245155.1
SB02040B1F01.f1,CK314803,101234084,18,NC_045016.1,-,2281534,2284962,MRPL12,NM_001245160.2
SB02004A2D01.f1.A,CK309912,101234084,18,NC_045016.1,+,2281534,2284962,MRPL12,NM_001245160.2
SB03041A2D09.f1,DV958314,100190734,15,NC_045014.1,+,10527476,10531739,VPS29,NM_001245162.1
SB03018B1A02.f1.A,DV950841,100189967,1,NC_044998.1,+,114223836,114224728,TIMM10B,NM_001245163.1
SB03005B2D11.f1,DV946618,100190223,7,NC_045006.1,+,36385881,36373387,MMADHC,NM_001245164.1
SB03005B1B12.f1.A,DV946511,100190735,22,NC_045020.1,+,4365717,4368533,SNRNP27,NM_001245165.1
SB02005A1F02.f1.A,CK310184,100190735,22,NC_045020.1,+,4365717,4368533,SNRNP27,NM_001245165.1
SB02015A1G08.f1,CK302252,100190224,9,NC_045008.1,+,3757685,3761736,POLR2D,NM_001245167.1
SB02032B1E11.f2,CK314054,101233290,23,NC_045021.1,+,5541266,5544962,FABP3,NM_001245169.1
SB03009B1G03.f1,DV947950,105758816,24,NC_045022.1,+,6647260,6648742,APOA1,NM_001245171.2
SB02004A2H12.f1,CK309933,105758816,24,NC_045022.1,+,6647260,6648742,APOA1,NM_001245171.2
SB02049A2A08.f1,CK309360,100190226,22,NC_045020.1,+,4007777,4003386,TMEM230,NM_001245174.1
SB02036A1H12.f1,CK312904,100190738,17,NC_045015.1,+,10339990,10338217,RPL35,NM_001245176.1
SB02012B2D09.f1,CK301620,100190738,17,NC_045015.1,+,10339990,10338217,RPL35,NM_001245176.1
SB03019B1B06.f1,DV951205,100189971,13,NC_045012.1,+,13862772,13860854,MED7,NM_001245177.1
SB02017B1B03.f1.A,CK302974,100190227,17,NC_045015.1,+,5480607,5484270,TRUB2,NM_001245178.1
SB03022A1F06.f1,DV952107,100190483,3,NC_045001.1,+,88600313,88578473,LOC100190483,NM_001245179.1
SB02026B2E09.f1,CK315778,100190483,3,NC_045001.1,+,88600313,88578473,LOC100190483,NM_001245179.1
SB02027B2D01.f1,CK305270,100229710,29,NC_045955.1,+,318385,314318,LOC100229710,NM_001245180.1
SB03025B1E06.f2,DV953317,100221009,Z,NC_045027.1,+,78473632,78476427,EXOSC5,NM_001245181.2
SB02036B1G01.f1.A,CK312995,100190228,18,NC_045016.1,+,2368121,2365035,PYCR1,NM_001245182.2
SB03051A2H12.f1,DV961812,100190484,19,NC_045017.1,+,5843208,5852111,MDH2,NM_001245183.2
SB03011B2H03.f1,DV948737,100190484,19,NC_045017.1,+,5843208,5852111,MDH2,NM_001245183.2
SB02041A1E02.f1,CK314952,100190484,19,NC_045017.1,+,5843208,5852111,MDH2,NM_001245183.2
SB02022B2G01.f1,CK304220,100190484,19,NC_045017.1,+,5843208,5852111,MDH2,NM_001245183.2
SB03017B1D02.f1,DV950528,100190740,6,NC_045005.1,+,16296595,16300344,NDUFB8,NM_001245184.2
SB03043B2C01.f1,DV959158,100189973,6,NC_045005.1,+,17855927,17838436,CXCL12,NM_001245185.2
SB02045A2D05.f1,CK308021,100190485,28,NC_045026.1,+,5012303,5025178,FAM32A,NM_001245187.1
SB02003A2D09.f2,CK303327,100190741,4,NC_045002.1,+,55752513,55748522,HNRNPDL,NM_001245188.1
SB03048A2F05.f1,DV960735,100189974,1A,NC_044999.1,+,28802608,28785187,DBX2,NM_001245189.2
SB010010000A11,CK234712,100189975,4,NC_045002.1,+,49604994,49624888,EIF4E,NM_001245193.1
SB03044A2C04.f1,DV959335,100190231,3,NC_045001.1,+,111268737,111262358,SRSF7,NM_001245194.2
SB03011B2G08.f1,DV948730,100190231,3,NC_045001.1,+,111268737,111262358,SRSF7,NM_001245194.2
SB02006A1H11.f1,CK310456,100190743,9,NC_045008.1,+,22377512,22333225,SERPINI1,NM_001245196.1
SB03050B1A08.f1,DV961469,100189976,1,NC_044998.1,+,18129387,18000659,FAM168A,NM_001245197.1
SB02024A1D08.f1,CK315158,100190232,7,NC_045006.1,+,21138635,21148556,SUMO1,NM_001245198.1
SB02018B2E02.f1.A,CK303861,100190744,10,NC_045009.1,+,12960359,12956708,MRPS11,NM_001245200.1
SB02014A2G03.f2,CK303528,100190233,23,NC_045021.1,+,2822876,2819055,PPT1,NM_001245202.1
SB02010B1F04.f1,CK311964,100190489,28,NC_045026.1,+,264558,261209,NDUFA11,NM_001245203.1
SB03026A1E06.f1,DV953485,100189978,8,NC_045007.1,+,28448653,28445910,LOC100189978,NM_001245205.2
SB02025A1C09.f1,CK304635,100189978,8,NC_045007.1,+,28448653,28445910,LOC100189978,NM_001245205.2
SB02008A2E05.f1,CK311250,100190490,1,NC_044998.1,+,36617562,36602224,CWC15,NM_001245207.1
SB010012000G06,CK234769,100190490,1,NC_044998.1,+,36617562,36602224,CWC15,NM_001245207.1
SB02014B2D07.f1,CK302101,100190235,2,NC_045000.1,+,135289043,135294136,ENY2,NM_001245209.1
SB02043B1E09.f1,CK307405,100190491,Un,NULL,+,NULL,NULL,LOC100190491,NM_001245210.1
SB02007B2D02.f1,CK311032,100190491,Un,NULL,+,NULL,NULL,LOC100190491,NM_001245210.1
SB02003A1G10.f2,CK303227,100190747,3,NC_045001.1,+,70631910,70638750,PSMB1,NM_001245211.1
