refseq_gene_id,chromosome_number,chromosome_scaffold,stand,start,end,gene_name,refseq_transcript_id,accession_number,newid,SASS_fdr.clone,SASS_fold.clone
100227304,17,NC_045015.1,+,6297093,6204433,FNBP1,XM_030287027.2,CK303050,SB02017B1F03.f1,0.771767042,0.017233104
100223630,4A,NC_045003.1,+,6134344,6106678,HEPH,XM_030272491.2,CK303226,SB02003A1G09.f2,0.803664635,0.026724233
100227152,7,NC_045006.1,+,22590344,22619902,RFTN2,XM_032749454.1,CK303353,SB02003A2G04.f2,0.659898866,0.038712346
116808460,5,NC_045004.1,+,4103673,4091892,LOC116808460,XR_004367970.1,CK303382,SB02014A1A10.f2,0.572464083,0.018175309
100223635,1,NC_044998.1,-,24764734,24730754,USF3,XM_030266515.2,CK303393,SB02014A1C01.f2,0.715263525,0.039889042
100226697,1,NC_044998.1,+,76456426,76231473,NALCN,XM_030276731.2,CK303404,SB02014A1C12.f2,0.635604462,0.03463656
100230490,8,NC_045007.1,-,28439343,28442373,METTL18,XM_030279674.2,CK303442,SB02014A1G06.f2,1.263637728,0.040328245
100217580,1,NC_044998.1,+,17602616,17610523,ADAMTS1,XM_030264019.2,CK303485,SB02014A2C02.f2,1.362163813,0.011141869
100217702,1A,NC_044999.1,+,43252929,43313162,VEZT,XM_030261555.2,CK303557,SB02018A1B01.f1,0.816954452,0.029837696
101234119,9,NC_045008.1,+,25537551,25548380,LOC101234119,XR_004368751.1,CK303601,SB02018A1F01.f1,0.680125337,0.033281466
101233744,11,NC_045010.1,+,14075668,14072719,NRN1L,XM_030282354.2,CK303641,SB02018B1A07.f1.A,1.241216504,0.012939964
100231676,7,NC_045006.1,+,3296059,3244829,FN1,XM_030278468.2,CK303703,SB02018B1D11.f1,0.607561539,0.033281466
100223779,1A,NC_044999.1,+,40729077,40679893,CEP290,XM_030260898.2,CK303713,SB02018B1E09.f1,0.775755091,0.043730098
100220867,6,NC_045005.1,-,17055407,17124844,MAPK8,XM_030276019.2,CK303913,SB02024A1A08.f1,1.196101515,0.022217103
100227304,17,NC_045015.1,+,6297093,6204433,FNBP1,XM_030287027.2,CK303936,SB02022A1D03.f1,0.752703717,0.006857532
100220783,Z,NC_045027.1,+,29698850,29705842,TMED7,XM_032744193.1,CK304194,SB02022B2A05.f1,0.730499034,0.003590575
100219639,17,NC_045015.1,+,1329112,1320463,PRPF4,XM_030286331.2,CK304203,SB02022B2B05.f1,1.167782592,0.012946413
100219924,6,NC_045005.1,+,18558713,18651009,HECTD2,XM_002188939.5,CK304231,SB02022B2H02.f1,0.675349692,0.036479012
100228006,2,NC_045000.1,+,73198243,73107192,NFX1,XM_032746886.1,CK304410,SB02023A2F02.f1,0.774229533,0.010324291
100231732,12,NC_045011.1,+,16271127,16088425,DOCK3,XM_030282931.2,CK304581,SB02023B2F05.f1,0.789033692,0.010580604
100222248,Z,NC_045027.1,+,74473997,74562847,ZNF462,XM_002188320.5,CK304607,SB02025A1A03.f1,0.815347939,0.042095809
100223610,Z,NC_045027.1,+,65256858,65299312,MRPS27,XM_002194777.5,CK304617,SB02025A1B02.f1,1.135817272,0.036174911
100225688,15,NC_045014.1,+,11580256,11575298,EIF2B1,XM_002190086.4,CK304740,SB02025B1F11.f1,1.340119439,0.03463656
100225288,13,NC_045012.1,+,14925522,14922160,THOC3,XM_002197614.4,CK304818,SB02025A2F01.f1,1.315442739,0.026591206
100218327,1,NC_044998.1,+,107167123,106979482,CASK,XM_030282926.2,CK304827,SB02025A2F11.f1,0.838348183,0.03926055
100221511,1A,NC_044999.1,+,48462956,48299490,CACNA1I,XM_030262969.2,CK304929,SB02025B2F05.f1,0.680172242,0.018378298
100230000,7,NC_045006.1,+,28016404,28138811,UNC80,XM_030277990.2,CK304956,SB02025B2H11.f1,0.641465022,0.005193942
100223681,9,NC_045008.1,+,25350208,25355645,COMMD2,XM_030280371.2,CK304971,SB02027A1A07.f1,1.127075504,0.03939463
100231529,5,NC_045004.1,+,17649015,17615827,LOC100231529,XM_030274046.2,CK305067,SB02027B1A07.f1,1.293871875,0.045404776
100220944,7,NC_045006.1,+,37463937,37457659,NR4A2,XM_030278207.2,CK305076,SB02027B1B05.f1,1.29060518,0.036677867
100222021,7,NC_045006.1,+,746999,569772,HDAC4,XM_030276974.2,CK305119,SB02027B1F03.f1.A,0.781074157,0.028196062
100190424,23,NC_045021.1,+,530071,532355,C23H1orf109,XM_032752470.1,CK305193,SB02027A2E10.f1,0.830193241,0.039948706
100231821,4,NC_045002.1,+,31207288,31352184,SORBS2,XM_032748093.1,CK305198,SB02027A2F03.f1,0.708434108,0.006857532
116808073,3,NC_045001.1,+,88501288,88513427,LOC116808073,XR_004367410.1,CK305254,SB02027B2B08.f1,0.731619449,0.049126565
115490629,27,NC_045025.1,+,4662245,4670595,LOC115490629,XR_003956693.2,CK305323,SB02029A1F03.f1,0.726555558,0.015184968
100219949,23,NC_045021.1,+,2516148,2509226,AK2,XM_030290640.2,CK305445,SB02029A2A09.f1,1.228219164,0.034338833
100220881,15,NC_045014.1,+,10274468,10323540,ATXN2,XM_030285759.2,CK305490,SB02029B1A06.f1,0.826637964,0.040328245
100227528,18,NC_045016.1,+,7925382,7930029,SRSF2,XM_012578548.3,CK305566,SB02029A2H02.f1,0.817028671,0.036152023
100227462,18,NC_045016.1,+,9351002,9492395,CACNA1G,XM_030287713.2,CK306115,SB02033A2A10.f1,0.760763432,0.025266463
100230593,3,NC_045001.1,+,103418858,103436064,BROX,XM_002188856.5,CK306125,SB02033A2B10.f1,0.748546472,0.005311003
100231791,6,NC_045005.1,+,5157458,5315875,JMJD1C,XM_030276690.2,CK306130,SB02033A2C04.f1,0.833512143,0.038220525
100219531,Z,NC_045027.1,+,15648592,15708568,TTC37,XM_030258049.2,CK306149,SB02033A2D11.f1,0.73423164,0.028196062
100226295,24,NC_045022.1,+,7052659,7047917,REXO2,XM_002189518.5,CK306179,SB02033A2G09.f1,1.163779931,0.013435831
115490573,2,NC_045000.1,+,151413754,151397893,EEF1D,XM_030266832.2,CK306245,SB02033B1E10.f1,1.156346879,0.045112087
100226116,Z,NC_045027.1,+,64008500,64007514,MED18,XM_002188042.5,CK306263,SB02033B1G04.f1,1.191434146,0.016623537
100225698,Z,NC_045027.1,+,29575459,29535975,LVRN,XM_032744188.1,CK306274,SB02033B1H04.f1,0.71150047,0.038712346
100223389,Z,NC_045027.1,+,17753344,17499899,ADGRV1,XM_030258702.2,CK306286,SB02033B2C11.f1,0.617781076,0.011611671
100224567,7,NC_045006.1,+,13166708,13077952,LOC100224567,XM_030278391.2,CK306372,SB02034A1A07.f1,0.803533588,0.030766213
100227214,3,NC_045001.1,+,1453909,1434252,FAM167A,XM_002187082.4,CK306378,SB02034A1B02.f1,1.341778645,0.022042591
100231954,Z,NC_045027.1,+,47942518,47866367,RICTOR,XM_030258691.2,CK306399,SB02034A1D01.f1,0.715794913,0.009720642
116806940,W,NC_045028.1,+,8583958,8577993,LOC116806940,XR_004365983.1,CK306448,SB02034A1H07.f1,0.752935318,0.03939463
100230000,7,NC_045006.1,+,28016404,28138811,UNC80,XM_030278001.2,CK306505,SB02034A2E02.f1,0.795170177,0.038263143
100227610,2,NC_045000.1,+,77642300,77393874,TRIO,XM_030267063.2,CK306534,SB02034A2G08.f1,0.851211087,0.045555867
100229361,18,NC_045016.1,+,7585971,7684429,TNRC6C,XM_030287645.2,CK306839,SB02041B2F10.f1,0.654062583,0.013459149
100230164,8,NC_045007.1,+,15410291,15464669,PKN2,XM_030279120.2,CK306841,SB02041B2G01.f1,0.759129116,0.010324291
100223574,10,NC_045009.1,+,3767238,3785513,SHF,XM_012578296.3,CK306946,SB02042A1H05.f1,1.296608951,0.040511477
100230761,12,NC_045011.1,-,11457250,11449757,RPN1,XM_030283433.2,CK306997,SB02042A2E06.f1,1.30185247,0.022238316
100221978,5,NC_045004.1,+,10802727,10866672,DENND5A,XM_030273805.2,CK307069,SB02042B1C03.f1,0.520360745,0.018330785
100222248,Z,NC_045027.1,+,74473997,74562847,ZNF462,XM_002188320.5,CK307108,SB02042B1F11.f1,0.851321351,0.049772798
105760846,10,NC_045009.1,+,8536708,8539945,BCL2L10,XM_030281400.2,CK307147,SB02042B2C04.f1.A,0.819413495,0.043852464
100228445,4A,NC_045003.1,+,5144904,5130113,RAB41,XM_004177223.4,CK307305,SB02043A2D05.f1,1.367793296,0.041268346
100223131,26,NC_045024.1,+,4468531,4457376,LOC100223131,XM_002195476.5,CK307354,SB02043A2B05.f1,1.449605608,0.032394952
100219901,1,NC_044998.1,+,83072758,83133712,UBE3A,XM_012569608.3,CK307438,SB02043B1A05.f1,0.695119671,0.02447921
100229209,2,NC_045000.1,+,95811631,95891052,NETO1,XM_030265910.2,CK307488,SB02043B2B05.f1,0.637634245,0.045391769
100222248,Z,NC_045027.1,+,74473997,74562847,ZNF462,XM_030257395.2,CK307496,SB02043B2C02.f1,0.817115218,0.024651152
100230834,10,NC_045009.1,+,20370658,20357385,TUBGCP4,XM_002190084.4,CK307548,SB02043B2H01.f1,0.530500594,0.010411638
100221096,1A,NC_044999.1,+,70047440,70033190,MRPS35,XM_012569340.3,CK307623,SB02044A1H08.f1,1.236037441,0.036474737
105760094,5,NC_045004.1,+,59711863,59705211,TMX1,XM_030273233.2,CK307656,SB02044A2B02.f1,1.125076113,0.026591206
115493848,2,NC_045000.1,+,102118239,102102802,LOC115493848,XR_003958819.2,CK307661,SB02044A2B07.f1,0.78712208,0.040328245
100225951,4A,NC_045003.1,+,167352,151818,RBMX,XR_004367856.1,CK307743,SB02044B1B03.f1,0.736579893,0.029899468
100231052,1,NC_044998.1,+,37160512,36950102,MAML2,XM_030269692.2,CK307748,SB02044B1B09.f1,0.833748511,0.045391769
100224567,7,NC_045006.1,+,13166708,13077952,LOC100224567,XM_032749583.1,CK307831,SB02044B2B09.f1,0.842355132,0.041927497
116809146,19,NC_045017.1,+,10831669,10833881,FZD9,XM_032751869.1,CK308061,SB02045A2H02.f1,1.172114269,0.049221544
100218171,3,NC_045001.1,+,88036701,88001364,JAG1,XM_012572272.3,CK308079,SB02045B1B01.f1,0.751784726,0.003292567
100231676,7,NC_045006.1,+,3296059,3244829,FN1,XM_030278470.2,CK308154,SB02045B2D06.f1,0.559969818,0.023032732
100218873,27,NC_045025.1,+,2466614,2464445,NKIRAS2,XM_030256258.2,CK308310,SB02046A1G12.f1,1.329705664,0.029992391
100190022,17,NC_045015.1,+,7023754,6941237,MED27,NM_001245331.2,CK308385,SB02046A2F10.f1,1.200188293,0.045555867
115491228,Z,NC_045027.1,+,9040058,9092991,LOC115491228,XR_004365894.1,CK308451,SB02046B1E09.f1,0.528154771,0.00538763
100231821,4,NC_045002.1,+,31207288,31352184,SORBS2,XM_032748094.1,CK308486,SB02046B1H12.f1,0.782253193,0.026069847
100222566,10,NC_045009.1,+,7318091,7366361,RFX7,XM_030281090.2,CK308525,SB02046B2D04.f1,0.787153053,0.034514058
100218977,23,NC_045021.1,+,4167006,4136074,HNRNPR,XM_030290452.2,CK308581,SB02047A1G01.f1,0.567471728,0.025281839
100226646,1,NC_044998.1,+,81699600,81801001,HERC2,XM_030277734.2,CK308857,SB02047B2D02.f1,0.760958087,0.007399765
100008579,13,NC_045012.1,+,18414596,18417546,EGR1,NM_001080957.1,CK308891,SB02047B2F12.f1.A,1.349989936,0.007675612
100218117,1A,NC_044999.1,+,3044836,3092280,PODXL,XR_004369749.1,CK308962,SB02048A1E09.f1,0.739671786,0.039027596
116806888,W,NC_045028.1,+,14344516,14176193,LOC116806888,XM_032744709.1,CK309014,SB02048A2B06.f1,0.88533423,0.039321213
100231891,21,NC_045019.1,+,633082,620848,ENO1,XM_002188853.4,CK309382,SB02049A2C07.f1,1.488932463,0.009720642
100225303,15,NC_045014.1,+,58689,7998,MORC2,XR_004369294.1,CK309508,SB02049B2A04.f1,0.738067403,0.048608229
115493820,2,NC_045000.1,-,93307960,93312478,LOC115493820,XM_030265874.2,CK309547,SB02049B2D01.f1,0.685153779,0.043730098
105759192,4,NC_045002.1,+,59449959,59423239,MGARP,XR_004367777.1,CK309562,SB02049B2E04.f1,0.594356861,0.021024377
100221182,8,NC_045007.1,+,2935726,2587051,NFIA,XM_004174320.4,CK309615,SB02003B1B11.f1,0.827407375,0.03404995
100219160,Z,NC_045027.1,-,57222406,57259527,GOLM1,XM_002190379.4,CK309677,SB02003B1H10.f1.M,0.89672422,0.009518391
100220837,8,NC_045007.1,+,802014,897954,LRRC7,XM_030279495.2,CK309851,SB02004B1E03.f1,0.778082363,0.047163533
100219766,26,NC_045024.1,+,2613931,2632379,ZC3H11A,XM_032753040.1,CK309889,SB02004A2A08.f1,0.648610291,0.048142815
100231191,Z,NC_045027.1,+,72878150,72859938,HAUS6,XM_030257879.2,CK309960,SB02004B1C05.f1,0.855489221,0.04180945
100223296,19,NC_045017.1,+,2320677,2267631,MED13,XM_002199200.5,CK309971,SB02004B1H05.f1.A,0.871856126,0.04609797
100228188,24,NC_045022.1,+,202548,183617,NFRKB,XM_012570800.3,CK310111,SB02005A1B05.f1,0.773766587,0.003292567
100218561,7,NC_045006.1,+,21134870,21111274,NOP58,XM_002189189.5,CK310174,SB02005A1E04.f1,1.263574761,0.047061992
100217979,23,NC_045021.1,+,2230605,2236549,TMEM39B,NM_001177553.2,CK310285,SB02005A2E04.f1,0.823370157,0.029929802
100232015,13,NC_045012.1,+,14702059,14655056,RNF145,XM_030283794.2,CK310376,SB02005B2E10.f1,1.385483173,0.007950602
100231140,17,NC_045015.1,+,208707,175468,ABCA2,XM_030286904.2,CK310381,SB02005B2F04.f1,0.840717258,0.031671205
116808653,8,NC_045007.1,+,18243615,18195470,LOC116808653,XR_004368575.1,CK310619,SB02006B1F03.f1,0.646503644,0.033281466
100224144,3,NC_045001.1,+,68241186,68273114,TARBP1,XM_030268268.2,CK310786,SB02007A1C08.f1,0.720274166,0.047045514
100219104,5,NC_045004.1,+,30974034,30778553,RYR3,XM_030274523.2,CK310791,SB02007A1D06.f1,0.645627331,0.020835374
100231954,Z,NC_045027.1,+,47942518,47866367,RICTOR,XM_030258692.2,CK310822,SB02007A1G03.f1,0.735901267,0.036677867
100225966,1A,NC_044999.1,+,62510037,62496251,CMAS,XM_030263428.2,CK310853,SB02007A2B09.f1,0.686142121,0.036677867
100222912,5,NC_045004.1,+,8739227,8742320,FEN1,XM_030273607.2,CK310873,SB02007B1B09.f1,1.230758806,0.043730098
100223618,1,NC_044998.1,+,19714638,19721775,TIPRL,XM_004177105.4,CK310927,SB02007B1G10.f1,0.862503854,0.040535519
100219883,3,NC_045001.1,+,54573111,54503066,SGK1,XM_002191033.5,CK310980,SB02007A2G05.f1,1.444872163,0.041031681
100144433,5,NC_045004.1,+,13683742,13807406,KCNC1,XM_012574108.3,CK310999,SB02007B2A01.f1,0.732338134,0.033281466
100228092,28,NC_045026.1,+,5378894,5366345,BSG,XM_030256598.2,CK311089,SB02008A1A03.f1,1.274744498,0.048204922
100225617,27,NC_045025.1,+,627357,587982,MAPT,XM_030256096.2,CK311127,SB02008A1G03.f1,0.761987917,0.027092385
100218454,Z,NC_045027.1,+,41891373,42599538,CELF4,XM_030258271.2,CK311176,SB02008B1A04.f1,0.886287894,0.042118735
100190650,2,NC_045000.1,+,113583013,113601440,RGS20,XM_030263999.2,CK311295,SB02008B1F03.f1,0.483663346,0.00593219
100229894,6,NC_045005.1,+,6233277,6424792,ANK3,XM_032749077.1,CK311298,SB02008B1F07.f1,0.74286643,0.026952814
100219299,3,NC_045001.1,+,68669773,68820598,PCNX2,XM_030268277.2,CK311348,SB02008B2A04.f1,0.846875106,0.045262564
100190497,2,NC_045000.1,+,26811591,26807513,NDUFA4,NM_001245229.1,CK311571,SB02009B1E07.f1,0.750816734,0.039123566
100226248,Z,NC_045027.1,+,16009840,15972900,SLF1,XM_032744312.1,CK311584,SB02009B1F10.f1,0.819420072,0.040611984
100217886,4A,NC_045003.1,+,9537498,9488270,THOC2,XM_030272624.2,CK311588,SB02009B1G02.f1,0.797953777,0.010324291
100221549,Z,NC_045027.1,+,68776147,68411295,PTPRD,XM_032744065.1,CK311634,SB02009A2C02.f1,0.686897693,0.038867893
100223902,5,NC_045004.1,+,61094351,61072677,PRPF39,XM_030275325.2,CK311707,SB02009B2A02.f1,0.871026355,0.046021774
100224568,7,NC_045006.1,+,5844791,6013136,CLASP1,XM_030277205.2,CK311730,SB02009B2C03.f1,0.778842152,0.010324291
100228119,20,NC_045018.1,+,1196376,1201102,SRSF6,XM_002195699.5,CK311763,SB02009B2G01.f1,0.664365694,0.007950602
100220108,5,NC_045004.1,+,7769508,7509405,SHANK2,XM_030273515.2,CK311789,SB02010A1A07.f1,0.740727357,0.04016861
100230434,1,NC_044998.1,+,89790749,89674960,ARHGEF7,XM_012569600.3,CK311810,SB02010A1D11.f1,0.699998644,0.039412173
100230917,3,NC_045001.1,+,111374807,111333306,SOS1,XM_030269318.2,CK311870,SB02010B1B12.f1,0.833950089,0.03926055
100221037,1A,NC_044999.1,+,5225022,5773159,CELF2,XM_030263710.2,CK311875,SB02010B1C05.f1,0.743983801,0.030715886
100226748,20,NC_045018.1,+,6958314,6963787,SLC35C2,XM_030288814.2,CK312034,SB02010B2B02.f1,0.788477602,0.030715886
116807005,1A,NC_044999.1,+,31204912,31207040,LOC116807005,XM_032744837.1,CK312104,SB02010B2H02.f1,0.777787201,0.042443987
105758685,1,NC_044998.1,+,32065930,32073811,CREBZF,XM_032751341.1,CK312120,SB02011A1A12.f1,0.789170057,0.017631044
105759009,2,NC_045000.1,+,69840190,69849090,LOC105759009,XR_001122818.3,CK312126,SB02011A1B06.f1,0.586375669,0.016623537
100222020,1A,NC_044999.1,+,62252441,62243624,TSPO,XM_030263416.2,CK312210,SB02011B1A12.f1,0.736104044,0.002464845
100190355,12,NC_045011.1,+,14017848,14014268,LOC100190355,NM_001245536.1,CK312231,SB02011B1D01.f1,0.611730887,0.037411355
100219899,1,NC_044998.1,+,94510412,94607445,WWC3,XM_002188716.5,CK312271,SB02011B1G08.f1,0.711696012,0.006809529
100225655,4,NC_045002.1,+,19894812,20155464,PCDH7,XM_030270884.2,CK312367,SB02011A2H10.f1,0.653961128,0.026137682
100227564,7,NC_045006.1,+,16972461,16995206,HNRNPA3,XM_030277538.2,CK312712,SB02035B1G05.f1,0.582742942,0.023234341
100232652,12,NC_045011.1,+,16633132,16844231,CACNA2D2,XM_032750780.1,CK312810,SB02035B2H06.f1,0.89618149,0.038323783
100217886,4A,NC_045003.1,+,9537498,9488270,THOC2,XM_030272623.2,CK313028,SB02036B1B06.f1,0.8045029,0.004950011
100223821,23,NC_045021.1,+,1707306,1929107,CSMD2,XM_030290569.2,CK313387,SB02037B1D03.f1,0.715928874,0.023092492
100226300,12,NC_045011.1,+,20013586,19917410,WNK2,XM_032750686.1,CK313485,SB02037B2G03.f1,0.676170357,0.027440965
100225966,1A,NC_044999.1,-,62510037,62496251,CMAS,XM_030263428.2,CK313631,SB02038A2B08.f1,0.727424791,0.029899468
115497294,14,NC_045013.1,+,25243,19321,LOC115497294,XR_003962856.2,CK313715,SB02038B1B07.f1,0.68085132,0.01968694
100218115,5,NC_045004.1,+,54876344,54847882,ZBTB1,XM_004174497.4,CK313869,SB02038B2G12.f1,0.814620945,0.030097982
100219960,23,NC_045021.1,+,3045235,3062237,SRRM1,XM_032752498.1,CK313902,SB02032A1C07.f2,0.863900441,0.03939463
115497306,14,NC_045013.1,+,14209619,14216968,LOC115497306,XR_003962877.2,CK313924,SB02032A1E05.f2,0.783282421,0.036508265
100226946,2,NC_045000.1,+,137803335,137590277,TRPS1,XM_030266589.2,CK314071,SB02032B1A03.f2,0.835094821,0.01767981
100222233,1,NC_044998.1,+,103449418,103405523,TAB3,XR_003962351.2,CK314079,SB02032B1B01.f2,0.839119211,0.036508265
115496182,8,NC_045007.1,+,8249372,8043944,LOC115496182,XR_003961578.2,CK314085,SB02032B1B08.f2,1.283351319,0.038203694
116809191,20,NC_045018.1,+,3195316,3194176,LOC116809191,XR_004369610.1,CK314134,SB02032B1H08.f2,0.852280343,0.04180945
100222350,Z,NC_045027.1,+,44917403,44910322,CREB3,XM_002190987.5,CK314183,SB02032B2E02.f2,1.308308477,0.042120051
100219392,1A,NC_044999.1,+,21949950,21818934,PTPRZ1,XM_012568935.3,CK314246,SB02039A1B08.f1,0.848865247,0.022238316
100219167,12,NC_045011.1,+,9147541,9070420,PLXNB1,XM_030282828.2,CK314407,SB02039B1A03.f1,0.727899342,0.016623537
100220583,3,NC_045001.1,+,35096498,35075502,RRAGD,XM_030267575.2,CK314451,SB02039B1H11.f1,1.318171422,0.045404776
100230146,1,NC_044998.1,+,65237136,65245831,HMGB1,XM_030274672.2,CK314519,SB02039B2C09.f1,1.310401325,0.038572785
100222922,2,NC_045000.1,+,54564457,54802226,ITGA9,XM_030265375.2,CK314669,SB02040A2A08.f1,0.764435115,0.02447921
100232753,3,NC_045001.1,+,67890824,67868638,GGPS1,XM_030268263.2,CK314870,SB02040B2D01.f1,1.485215833,0.027092385
100226300,12,NC_045011.1,+,20013586,19917410,WNK2,XM_030283216.2,CK314887,SB02040B2E09.f1,0.815533183,0.049391771
